LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
Boysen Reservoir,43.3,-108.2,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,43.3,108.2,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,43.3,108.2,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,43.3,108.2,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479
Brackett Lake,45.74,-67.86,0,0,0,0,0,0,0,0,5616,6957,6833,8442,12753,18433,14120,10140,10098,7251,7965,5747,5481,8805,10119,9658,12867,13269,11332,14135,9306,7850,8548,6267,5919,8984,9705,13788,10250,10131,11534,14023,10110,8661,9517,6782,7323,5496,7558,12118,45.74,67.86,0,0,0,0,0,0,0,0,5616,6957,6833,8442,12753,18433,14120,10140,10098,7251,7965,5747,5481,8805,10119,9658,12867,13269,11332,14135,9306,7850,8548,6267,5919,8984,9705,13788,10250,10131,11534,14023,10110,8661,9517,6782,7323,5496,7558,12118,45.74,67.86,0,0,0,0,0,0,0,0,5616,6957,6833,8442,12753,18433,14120,10140,10098,7251,7965,5747,5481,8805,10119,9658,12867,13269,11332,14135,9306,7850,8548,6267,5919,8984,9705,13788,10250,10131,11534,14023,10110,8661,9517,6782,7323,5496,7558,12118,45.74,67.86,0,0,0,0,0,0,0,0,5616,6957,6833,8442,12753,18433,14120,10140,10098,7251,7965,5747,5481,8805,10119,9658,12867,13269,11332,14135,9306,7850,8548,6267,5919,8984,9705,13788,10250,10131,11534,14023,10110
Brant Lake,43.92,-96.95,0,0,0,0,0,0,0,0,0,0,2651,6071,8917,25568,17948,9092,6880,3833,3947,2789,2858,4536,5231,6215,8606,13362,12198,7010,3317,2701,2990,2037,2040,3319,5827,15835,10815,13456,9193,6676,3641,2901,3044,2088,2545,3322,5966,7985,43.92,96.95,0,0,0,0,0,0,0,0,0,0,2651,6071,8917,25568,17948,9092,6880,3833,3947,2789,2858,4536,5231,6215,8606,13362,12198,7010,3317,2701,2990,2037,2040,3319,5827,15835,10815,13456,9193,6676,3641,2901,3044,2088,2545,3322,5966,7985,43.92,96.95,0,0,0,0,0,0,0,0,0,0,2651,6071,8917,25568,17948,9092,6880,3833,3947,2789,2858,4536,5231,6215,8606,13362,12198,7010,3317,2701,2990,2037,2040,3319,5827,15835,10815,13456,9193,6676,3641,2901,3044,2088,2545,3322,5966,7985,43.92,96.95,0,0,0,0,0,0,0,0,0,0,2651,6071,8917,25568,17948,9092,6880,3833,3947,2789,2858,4536,5231,6215,8606,13362,12198,7010,3317,2701,2990,2037,2040,3319,5827,15835,10815,13456,9193,6676,3641
Brassua Lake,45.67,-69.88,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,45.67,69.88,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,45.67,69.88,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582,4474,4644,3286,3864,3856,5382,7767,45.67,69.88,0,0,0,0,0,0,0,0,0,2001,4307,5627,10119,8818,9186,8184,8079,4726,4771,3207,3098,4854,6904,11061,21159,10025,9252,9771,5767,4543,4581,3244,3409,5588,6637,10854,8961,15755,12721,9544,5582
Brazoria Reservoir,29.07,-95.53,0,0,0,0,0,0,0,0,0,2373,6614,7830,9418,11575,8461,5416,5009,3079,3381,2702,3115,8998,7184,5533,8338,7364,6864,7089,4455,3422,3723,2569,2389,4043,5195,7142,5667,9188,14866,10392,5358,3922,3767,2467,2898,3394,5871,9168,29.07,95.53,0,0,0,0,0,0,0,0,0,2373,6614,7830,9418,11575,8461,5416,5009,3079,3381,2702,3115,8998,7184,5533,8338,7364,6864,7089,4455,3422,3723,2569,2389,4043,5195,7142,5667,9188,14866,10392,5358,3922,3767,2467,2898,3394,5871,9168,29.07,95.53,0,0,0,0,0,0,0,0,0,2373,6614,7830,9418,11575,8461,5416,5009,3079,3381,2702,3115,8998,7184,5533,8338,7364,6864,7089,4455,3422,3723,2569,2389,4043,5195,7142,5667,9188,14866,10392,5358,3922,3767,2467,2898,3394,5871,9168,29.07,95.53,0,0,0,0,0,0,0,0,0,2373,6614,7830,9418,11575,8461,5416,5009,3079,3381,2702,3115,8998,7184,5533,8338,7364,6864,7089,4455,3422,3723,2569,2389,4043,5195,7142,5667,9188,14866,10392,5358
Bresler Upground Reservoir,40.74,-84.23,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,40.74,84.23,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,40.74,84.23,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,40.74,84.23,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322
Brevoort Lake,46,-84.92,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46,84.92,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46,84.92,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583,3461,3340,2162,2477,2297,4425,6770,46,84.92,0,0,0,0,0,0,0,0,0,1385,3423,4601,7418,13492,14254,8719,6608,3850,3860,2592,2259,3288,4538,4953,6722,7458,10334,8302,4259,3313,3495,2376,2427,3243,3968,9551,9290,8993,11074,9316,4583
Bridgeport Reservoir,38.29,-119.2,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,38.29,119.2,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,38.29,119.2,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574,2159,2787,2286,3244,3176,3281,4812,38.29,119.2,7358,3973,2248,2057,2539,1710,1623,2396,2175,3967,3482,4078,6622,5889,3905,3575,2889,2117,2355,2146,2467,5235,4223,4523,7903,5017,4782,3943,2902,2461,2653,2222,2220,3835,3932,6535,3994,4257,4427,4394,2574
Broad Pond,38.35,-87.76,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,38.35,87.76,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,38.35,87.76,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802,2863,3375,3032,4379,4335,5506,9582,38.35,87.76,13859,8646,4522,3338,3622,2562,2551,2925,2247,5298,5983,6444,12313,11431,9364,5948,4956,2657,3055,2572,3357,7195,9572,18311,13432,6617,7893,7488,3947,3661,3397,2141,2728,6026,7486,14328,8502,7982,6933,5704,2802
Brownwood Lake,31.86,-99.05,14468,7540,4158,3848,4119,2861,2327,2546,3475,9279,10603,10575,17375,15068,9466,6573,6160,3884,3995,3225,4316,9308,8679,10144,16627,9425,9636,9710,5361,4527,4325,2836,3143,5975,6765,10149,10927,13495,8078,6657,4055,3294,3478,2712,3935,4465,5304,10870,31.86,99.05,14468,7540,4158,3848,4119,2861,2327,2546,3475,9279,10603,10575,17375,15068,9466,6573,6160,3884,3995,3225,4316,9308,8679,10144,16627,9425,9636,9710,5361,4527,4325,2836,3143,5975,6765,10149,10927,13495,8078,6657,4055,3294,3478,2712,3935,4465,5304,10870,31.86,99.05,14468,7540,4158,3848,4119,2861,2327,2546,3475,9279,10603,10575,17375,15068,9466,6573,6160,3884,3995,3225,4316,9308,8679,10144,16627,9425,9636,9710,5361,4527,4325,2836,3143,5975,6765,10149,10927,13495,8078,6657,4055,3294,3478,2712,3935,4465,5304,10870,31.86,99.05,14468,7540,4158,3848,4119,2861,2327,2546,3475,9279,10603,10575,17375,15068,9466,6573,6160,3884,3995,3225,4316,9308,8679,10144,16627,9425,9636,9710,5361,4527,4325,2836,3143,5975,6765,10149,10927,13495,8078,6657,4055
Brule Lake,47.94,-90.68,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.94,90.68,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.94,90.68,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344,2852,3020,2221,2946,4098,5727,6762,47.94,90.68,13546,6737,3304,2586,2648,1921,1721,1957,1608,3544,5794,6586,10928,18983,13393,6146,4401,2423,2527,1788,2136,5581,6107,6910,9232,12817,11003,6087,3179,2515,2812,1855,1910,3973,6289,20929,9274,8467,7697,5988,3344
Buchanan Lake,46.45,-95.56,13978,9726,6886,5832,6079,4121,3743,4363,4695,12642,10323,10922,17606,25842,16002,7700,6588,4192,5182,4359,5226,12558,10347,10818,13780,14043,18559,12677,6134,5008,5123,3589,4516,9125,9452,15034,10084,12990,13024,10105,6048,5080,5536,4492,6670,8085,9316,12685,46.45,95.56,13978,9726,6886,5832,6079,4121,3743,4363,4695,12642,10323,10922,17606,25842,16002,7700,6588,4192,5182,4359,5226,12558,10347,10818,13780,14043,18559,12677,6134,5008,5123,3589,4516,9125,9452,15034,10084,12990,13024,10105,6048,5080,5536,4492,6670,8085,9316,12685,46.45,95.56,13978,9726,6886,5832,6079,4121,3743,4363,4695,12642,10323,10922,17606,25842,16002,7700,6588,4192,5182,4359,5226,12558,10347,10818,13780,14043,18559,12677,6134,5008,5123,3589,4516,9125,9452,15034,10084,12990,13024,10105,6048,5080,5536,4492,6670,8085,9316,12685,46.45,95.56,13978,9726,6886,5832,6079,4121,3743,4363,4695,12642,10323,10922,17606,25842,16002,7700,6588,4192,5182,4359,5226,12558,10347,10818,13780,14043,18559,12677,6134,5008,5123,3589,4516,9125,9452,15034,10084,12990,13024,10105,6048
Buchanan Lake,30.82,-98.42,21754,12389,6385,5174,5166,3413,3169,3528,2746,5003,7897,9132,12179,17888,12100,6125,4757,3486,3408,3470,4895,12213,9496,18846,16236,10046,9538,8364,4610,3629,3476,2525,3579,6645,7751,11689,12175,15427,8804,7570,3881,3618,4433,3431,4746,5875,6684,11008,30.82,98.42,21754,12389,6385,5174,5166,3413,3169,3528,2746,5003,7897,9132,12179,17888,12100,6125,4757,3486,3408,3470,4895,12213,9496,18846,16236,10046,9538,8364,4610,3629,3476,2525,3579,6645,7751,11689,12175,15427,8804,7570,3881,3618,4433,3431,4746,5875,6684,11008,30.82,98.42,21754,12389,6385,5174,5166,3413,3169,3528,2746,5003,7897,9132,12179,17888,12100,6125,4757,3486,3408,3470,4895,12213,9496,18846,16236,10046,9538,8364,4610,3629,3476,2525,3579,6645,7751,11689,12175,15427,8804,7570,3881,3618,4433,3431,4746,5875,6684,11008,30.82,98.42,21754,12389,6385,5174,5166,3413,3169,3528,2746,5003,7897,9132,12179,17888,12100,6125,4757,3486,3408,3470,4895,12213,9496,18846,16236,10046,9538,8364,4610,3629,3476,2525,3579,6645,7751,11689,12175,15427,8804,7570,3881
Buck Lake,28.41,-81.26,7350,4631,3244,2073,2753,1746,1732,2225,2555,6746,5760,6887,12358,12640,7166,3602,3285,1905,2238,2464,3458,6582,5287,5999,8990,7054,6290,4792,2672,2153,2529,2022,3157,5454,5164,8454,6959,8031,6194,4773,2792,2146,2599,2398,3942,3796,5032,7411,28.41,81.26,7350,4631,3244,2073,2753,1746,1732,2225,2555,6746,5760,6887,12358,12640,7166,3602,3285,1905,2238,2464,3458,6582,5287,5999,8990,7054,6290,4792,2672,2153,2529,2022,3157,5454,5164,8454,6959,8031,6194,4773,2792,2146,2599,2398,3942,3796,5032,7411,28.41,81.26,7350,4631,3244,2073,2753,1746,1732,2225,2555,6746,5760,6887,12358,12640,7166,3602,3285,1905,2238,2464,3458,6582,5287,5999,8990,7054,6290,4792,2672,2153,2529,2022,3157,5454,5164,8454,6959,8031,6194,4773,2792,2146,2599,2398,3942,3796,5032,7411,28.41,81.26,7350,4631,3244,2073,2753,1746,1732,2225,2555,6746,5760,6887,12358,12640,7166,3602,3285,1905,2238,2464,3458,6582,5287,5999,8990,7054,6290,4792,2672,2153,2529,2022,3157,5454,5164,8454,6959,8031,6194,4773,2792
Buck Lake,47.43,-94.55,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,47.43,94.55,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,47.43,94.55,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407,2731,2940,2222,3266,3745,5789,7403,47.43,94.55,17570,8684,5009,3852,3817,2670,2168,2378,2077,3932,6337,6488,11263,19608,13270,7199,5678,3253,3507,2485,2791,6073,6459,6164,9425,9358,9474,6619,3489,2778,3363,2463,2566,4114,6452,9529,8608,14635,9269,6326,3407
Bucks Lake,39.89,-121.2,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,39.89,121.2,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,39.89,121.2,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263,2888,2940,1994,3282,3803,4726,7754,39.89,121.2,9466,5061,3971,2869,2895,2117,2009,2278,1806,4822,5339,7032,8216,11666,11271,5055,3367,2319,2582,2197,2823,7041,5980,4859,8048,8360,7895,5587,3759,2656,2546,2010,2693,6090,5807,8625,6572,6557,7524,5768,3263
Buckskin Lake,45.89,-89.94,11469,6239,3164,2879,3379,2350,2195,2406,2491,7061,6452,7887,17060,15611,9275,6181,5360,3621,4367,3541,4074,7295,8959,11346,16442,7752,8954,8258,4106,3251,3371,2288,2351,4784,6254,10960,11638,14200,8935,6888,3906,3426,3763,2583,3239,3157,3933,6030,45.89,89.94,11469,6239,3164,2879,3379,2350,2195,2406,2491,7061,6452,7887,17060,15611,9275,6181,5360,3621,4367,3541,4074,7295,8959,11346,16442,7752,8954,8258,4106,3251,3371,2288,2351,4784,6254,10960,11638,14200,8935,6888,3906,3426,3763,2583,3239,3157,3933,6030,45.89,89.94,11469,6239,3164,2879,3379,2350,2195,2406,2491,7061,6452,7887,17060,15611,9275,6181,5360,3621,4367,3541,4074,7295,8959,11346,16442,7752,8954,8258,4106,3251,3371,2288,2351,4784,6254,10960,11638,14200,8935,6888,3906,3426,3763,2583,3239,3157,3933,6030,45.89,89.94,11469,6239,3164,2879,3379,2350,2195,2406,2491,7061,6452,7887,17060,15611,9275,6181,5360,3621,4367,3541,4074,7295,8959,11346,16442,7752,8954,8258,4106,3251,3371,2288,2351,4784,6254,10960,11638,14200,8935,6888,3906
Buffalo Bill Reservoir,44.48,-109.2,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,44.48,109.2,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,44.48,109.2,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283,2637,2857,2228,2756,2927,4906,7441,44.48,109.2,0,0,0,0,0,0,0,0,0,1448,8353,8116,7003,11687,11863,7049,5309,3044,2920,1910,1812,4048,5285,5771,8302,7681,6420,5670,3342,2887,3007,2128,2085,3053,3408,7900,10012,12777,8547,5962,3283
Buffalo Lake,45.16,-93.89,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,45.16,93.89,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,45.16,93.89,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322,4147,4373,3431,4946,4731,7026,10944,45.16,93.89,0,0,0,0,0,0,0,0,0,5216,7882,8016,11540,12116,10211,7227,6596,4211,4914,3631,4145,9404,9096,16434,14619,7023,7869,9794,5599,4226,4660,3425,3917,6114,6032,9092,10032,13410,10638,9576,5322
Buffalo Lodge Lake,48.33,-100.8,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,48.33,100.8,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,48.33,100.8,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627,6346,7028,5164,6279,5780,9497,11037,48.33,100.8,0,0,0,0,0,0,0,0,0,7577,9639,10807,20888,27092,16283,10604,9305,5825,6041,4263,4191,8507,12768,13227,22221,16391,12974,12197,7416,6051,6652,4660,4649,6838,8497,13883,11856,20580,17676,13640,7627
"Buffum, Lake",27.8,-81.66,0,0,0,0,0,0,0,0,0,3103,5256,5391,7070,14661,10889,6675,5279,2880,2847,1836,1749,3142,4239,5789,8521,7410,10782,9220,4648,3569,3463,2268,2096,3192,5505,11069,8912,9317,9752,7157,3807,3023,3077,2102,2659,3007,5122,7640,27.8,81.66,0,0,0,0,0,0,0,0,0,3103,5256,5391,7070,14661,10889,6675,5279,2880,2847,1836,1749,3142,4239,5789,8521,7410,10782,9220,4648,3569,3463,2268,2096,3192,5505,11069,8912,9317,9752,7157,3807,3023,3077,2102,2659,3007,5122,7640,27.8,81.66,0,0,0,0,0,0,0,0,0,3103,5256,5391,7070,14661,10889,6675,5279,2880,2847,1836,1749,3142,4239,5789,8521,7410,10782,9220,4648,3569,3463,2268,2096,3192,5505,11069,8912,9317,9752,7157,3807,3023,3077,2102,2659,3007,5122,7640,27.8,81.66,0,0,0,0,0,0,0,0,0,3103,5256,5391,7070,14661,10889,6675,5279,2880,2847,1836,1749,3142,4239,5789,8521,7410,10782,9220,4648,3569,3463,2268,2096,3192,5505,11069,8912,9317,9752,7157,3807
Bundick Lake,30.75,-93.11,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,30.75,93.11,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,30.75,93.11,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597,2531,3440,2667,4071,4343,5700,10682,30.75,93.11,11319,6588,3895,3372,3074,2724,2483,2828,3130,8666,7559,7373,10737,10303,6312,4925,4794,3128,3852,2916,4743,9887,9300,20767,12075,7329,6804,6925,4493,3292,3619,2606,4079,6298,5574,10072,10235,9400,6989,5594,3597
